Year,Month,Relative,Percentage,No. of Tourists,Holidays,Avg Temp(*C),Relative Humidity(at 2m)%,Precipitation (mm/day),Cultural Fests,GDP of goa (k ),Airport Traffic index(in Ks),
2010,1,83,0.006884539,197054.6125,9,27,63.44,0,7,54835,2008.6423955911916   -   992376.8707371631,
2010,2,79,0.006552754,187558.0046,8,27,61.88,0,6,54835,,
2010,3,77,0.006386861,182809.7007,9,28,64.56,0,4,54835,2008.866500253529   -   1001783.2988310121,
2010,4,80,0.0066357,189932.1566,7,30,70,0,5,54835,2008.915064142052   -   596648.3980387503,
2010,5,82,0.006801593,194680.4605,6,30,73.62,0,4,54835,2008.9451229101587   -   398694.99718630523,
2010,6,84,0.006967485,199428.7644,6,27,82.56,21.09,5,54835,,
2010,7,93,0.007714001,220796.1321,5,26,88.19,26.37,3,54835,2008.9002996463132   -   795772.3317051961,
2010,8,88,0.00729927,208925.3723,7,26,89.19,15.82,5,54835,2008.9683433593764   -   210046.46287873248,
2010,9,78,0.006469808,185183.8527,10,26,86.31,10.55,2,54835,2008.9714458542733   -   184164.49583510903,
2010,10,74,0.006138023,175687.2449,11,26,82.44,5.27,3,54835,2008.966404691807   -   1007460.2306934908,
2010,11,72,0.00597213,170938.9409,9,26,80.69,5.27,6,54835,2008.9656447139866   -   992099.0659978447,
2010,12,73,0.006055076,173313.0929,11,25,69.75,0,7,54835,,
2011,1,81,0.006718646,192306.3086,9,26,61.75,0,7,289191.045,2009.0127737377939   -   598934.2481607427,
2011,2,79,0.006552754,187558.0046,8,26,61.75,0,6,289191.045,,
2011,3,77,0.006386861,182809.7007,9,27,64.88,0,4,289191.045,2009.0839427048024   -   182446.75091242848,
2011,4,78,0.006469808,185183.8527,7,28,67.88,0,5,289191.045,,
2011,5,79,0.006552754,187558.0046,6,29,72.81,0,4,289191.045,,
2011,6,83,0.006884539,197054.6125,6,27,83.06,15.82,5,289191.045,,
2011,7,93,0.007714001,220796.1321,5,26,87.62,21.09,3,289191.045,,
2011,8,84,0.006967485,199428.7644,7,26,89.31,21.09,5,289191.045,2009.1309767135756   -   410365.31061314675,
2011,9,75,0.006220969,178061.3968,10,26,86.06,10.55,2,289191.045,,
2011,10,71,0.005889184,168564.789,11,27,81.06,5.27,3,289191.045,,
2011,11,70,0.005806238,166190.637,9,27,69.12,0,6,289191.045,,
2011,12,68,0.005640345,161442.3331,11,26,61.56,0,7,289191.045,,
2012,1,76,0.006303915,180435.5488,9,25,60.38,0,7,259444.014,2009.1581874452138   -   183365.01475558558,
